n_shots,test_n,accuracy,macro_f1
0,95,0.3263157894736842,0.25143453312467395
5,90,0.35555555555555557,0.2652723620465556
10,85,0.3411764705882353,0.2528735632183908
15,80,0.3375,0.24678047319556753
20,75,0.30666666666666664,0.21944444444444444
